RunId,PlotId,MonStatus,MonStatusOrder,TreeSpecies,TreeExpansionFactor,Diameter,TreeHeight,CrownBaseHeight,TreeStatus,CrownClass,CrownRatio,BoleCharHeight,CrownScorch%,ScorchHeight,CKR,BeetleDamage,EquationType,FlLe/ScHt,FS,Severity,BehaveProbability,FOFEMProbability,AbsoluteDifference
171,CS-ULAL-5-25-30-3,30,3,ULAL,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
172,CS-ULAM-5-25-30-3,30,3,ULAM,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,74,0.228647,
173,CS-ULPU-5-25-30-3,30,3,ULPU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,70,70,0.0162941,
174,CS-ULRU-5-25-30-3,30,3,ULRU,100,5,25,,,,30,,,,,,CRNSCH,3,S,,73,73,0.24601,
175,CS-ULMSPP-5-25-30-3,30,3,ULMSPP,100,5,25,,,,30,,,,,,CRNSCH,3,S,,69,69,0.466575,
176,CS-ULTH-5-25-30-3,30,3,ULTH,100,5,25,,,,30,,,,,,CRNSCH,3,S,,72,73,0.283293,
177,CS-UMCA-5-25-30-3,30,3,UMCA,100,5,25,,,,30,,,,,,CRNSCH,3,S,,76,76,0.333489,
178,CS-ABAM-10-50-10-3,10,3,ABAM,100,10,50,,,,10,,,,,,CRNSCH,3,S,,39,39,0.472689,
179,CS-ABBA-10-50-10-3,10,3,ABBA,100,10,50,,,,10,,,,,,CRNSCH,3,S,,56,56,0.400958,
180,CS-ABCO-10-50-10-3,10,3,ABCO,100,10,50,,,,10,,,,,,CRNSCH,3,S,,2,3,0.0923009,
181,CS-ABGR-10-50-10-3,10,3,ABGR,100,10,50,,,,10,,,,,,CRNSCH,3,S,,15,16,0.488058,
182,CS-ABLA-10-50-10-3,10,3,ABLA,100,10,50,,,,10,,,,,,CRNSCH,3,S,,15,16,0.488058,
183,CS-ABMA-10-50-10-3,10,3,ABMA,100,10,50,,,,10,,,,,,CRNSCH,3,S,,9,9,0.0421437,
184,CS-ABPR-10-50-10-3,10,3,ABPR,100,10,50,,,,10,,,,,,CRNSCH,3,S,,41,41,0.393043,
